title,link,score,scraped_at
Vet is a safety net for the risky curl | bash pattern,https://github.com/vet-run/vet,53 points,2025-07-24 16:25:57
Detekt – A static code analyzer for Kotlin,https://detekt.dev/,50 points,2025-07-24 16:25:57
"AMD CEO says U.S.-made TSMC chips are 5%-20% more expensive, but worth it",https://www.tomshardware.com/tech-industry/amd-ceo-says-u-s-made-tsmc-chips-are-more-expensive-but-worth-it-costs-more-than-5-percent-but-less-than-20-percent-higher-than-taiwan-sourced-alternative,39 points,2025-07-24 16:25:57
Web fingerprinting is worse than I thought (2023),https://www.bitestring.com/posts/2023-03-19-web-fingerprinting-is-worse-than-I-thought.html,114 points,2025-07-24 16:25:57
CARA – High precision robot dog using rope,https://www.aaedmusa.com/projects/cara,860 points,2025-07-24 16:25:57
Wix: Introduce the Open Source Maintenance Fee,https://github.com/wixtoolset/issues/issues/8974,71 points,2025-07-24 16:25:57
AI overviews cause massive drop in search clicks,https://arstechnica.com/ai/2025/07/research-shows-google-ai-overviews-reduce-website-clicks-by-almost-half/,513 points,2025-07-24 16:25:57
Covers as a way of learning music and code,https://ntietz.com/blog/covers-as-a-way-of-learning/,22 points,2025-07-24 16:25:57
BGP.Tools: Browse the Internet Ecosystem,https://bgp.tools/,233 points,2025-07-24 16:25:57
Thunder Compute (YC S24) Is Hiring a C++ Systems Engineer,https://www.ycombinator.com/companies/thunder-compute/jobs/DhML6Uf-c-systems-engineer,74 points,2025-07-24 16:25:57
